icon_name,is_alias,tags
circle-chevron-left,no,back; previous; less than; fewer; menu; <
circle-chevron-right,no,back; more than; greater; menu; >
circle-chevron-up,no,caret; ahead; menu; ^
circle-dashed,no,pending; dot; progress; issue; draft; code; coding; version control
circle-divide,no,calculate; math; ÷; /
circle-dollar-sign,no,monetization; marketing; currency; money; payment
circle-dot,no,pending; dot; progress; issue; code; coding; version control; choices; multiple choice; choose
circle-dot-dashed,no,pending; dot; progress; issue; draft; code; coding; version control
circle-ellipsis,no,ellipsis; et cetera; etc; loader; loading; progress; pending; throbber; menu; options; operator; code; spread; rest; more; further; extra; overflow; dots; …; ...
circle-equal,no,calculate; shape; =
circle-fading-arrow-up,no,north; up; upgrade; improve; circle; button
circle-fading-plus,no,stories; social media; instagram; facebook; meta; snapchat; sharing; content
circle-gauge,no,dashboard; dial; meter; speed; pressure; measure; level
circle-help,yes,
circle-minus,no,subtract; remove; decrease; reduce; calculate; line; operator; code; coding; minimum; downgrade; -
circle-off,no,diameter; zero; Ø; nothing; null; void; cancel; ban; no; stop; forbidden; prohibited; error; incorrect; mistake; wrong; failure
circle-parking,no,parking lot; car park
circle-parking-off,no,parking lot; car park; no parking
circle-pause,no,music; audio; stop
circle-percent,no,verified; unverified; sale; discount; offer; marketing; sticker; price tag
circle-pile,no,off; zero; record; shape; circle-pile; circle; pile; stack; layer; structure; form; group; collection; stock; inventory; materials; warehouse
circle-play,no,music; start; run
circle-plus,no,add; new; increase; increment; positive; calculate; crosshair; aim; target; scope; sight; reticule; maximum; upgrade; extra; operator; join; concatenate; code; coding; +
circle-pound-sterling,no,monetization; coin; penny; marketing; currency; money; payment; british; gbp; £
circle-power,no,on; off; device; switch; toggle; binary; boolean; reboot; restart; button; keyboard; troubleshoot
circle-question-mark,no,question mark
circle-slash,no,diameter; zero; Ø; nothing; null; void; cancel; ban; no; stop; forbidden; prohibited; error; incorrect; mistake; wrong; failure; divide; division; or; /
circle-slash-2,no,diameter; zero; ø; nothing; null; void; ban; math; divide; division; half; split; /; average; avg; mean; median; normal
circle-slashed,yes,
circle-small,no,shape; bullet; gender; genderless
circle-star,no,badge; medal; honour; decoration; order; pin; laurel; trophy; medallion; insignia; bronze; silver; gold
circle-stop,no,media; music
circle-user,no,person; account; contact
circle-user-round,no,person; account; contact
circle-x,no,cancel; close; delete; remove; times; clear; error; incorrect; wrong; mistake; failure; linter; multiply; multiplication
circuit-board,no,computing; electricity; electronics
citrus,no,lemon; orange; grapefruit; fruit
clapperboard,no,movie; film; video; camera; cinema; cut; action; television; tv; show; entertainment
clipboard,no,copy; paste
clipboard-check,no,copied; pasted; done; todo; tick; complete; task
clipboard-clock,no,copy; paste; history; log; clock; time; watch; alarm; hour; minute; reminder; scheduled; deadline; pending; time tracking; timesheets; appointment; logbook
clipboard-copy,no,copy; paste
clipboard-edit,yes,
clipboard-list,no,copy; paste; tasks
clipboard-minus,no,copy; delete; remove; erase; document; medical; report; doctor
clipboard-paste,no,copy; paste
clipboard-pen,no,paste; signature
clipboard-pen-line,no,paste
clipboard-plus,no,copy; paste; add; create; new; document; medical; report; doctor
clipboard-signature,yes,
clipboard-type,no,paste; format; text
clipboard-x,no,copy; paste; discard; remove
clock,no,time; watch; alarm
clock-1,no,time; watch; alarm
clock-10,no,time; watch; alarm
clock-11,no,time; watch; alarm
clock-12,no,time; watch; alarm; noon; midnight
clock-2,no,time; watch; alarm
clock-3,no,time; watch; alarm
clock-4,no,time; watch; alarm
clock-5,no,time; watch; alarm
clock-6,no,time; watch; alarm
clock-7,no,time; watch; alarm
clock-8,no,time; watch; alarm
clock-9,no,time; watch; alarm
clock-alert,no,time; watch; alarm; warning; wrong
clock-arrow-down,no,time; watch; alarm; sort; order; ascending; descending; increasing; decreasing; rising; falling
clock-arrow-up,no,time; watch; alarm; sort; order; ascending; descending; increasing; decreasing; rising; falling
clock-check,no,time; watch; alarm
clock-fading,no,time; watch; alarm
clock-plus,no,time; watch; alarm; add; create; new
closed-caption,no,tv; movie; video; closed captions; subtitles; subhead; transcription; transcribe; dialogue; accessibility
cloud,no,weather
cloud-alert,no,weather; danger; warning; alert; error; sync; network; exclamation
cloud-backup,no,storage; memory; bytes; servers; backup; timemachine; rotate; synchronize; synchronise; refresh; reconnect; transfer; data; security; upload; save; remote; safety
cloud-check,no,sync; network; success; done; completed; saved; persisted
cloud-cog,no,computing; ai; cluster; network
cloud-download,no,import
cloud-drizzle,no,weather; shower
cloud-fog,no,weather; mist
cloud-hail,no,weather; rainfall
cloud-lightning,no,weather; bolt
cloud-moon,no,weather; night
cloud-moon-rain,no,weather; partly; night; rainfall
cloud-off,no,disconnect
cloud-rain,no,weather; rainfall
cloud-rain-wind,no,weather; rainfall
cloud-snow,no,weather; blizzard
cloud-sun,no,weather; partly
cloud-sun-rain,no,weather; partly; rainfall
cloud-sync,no,synchronize; synchronise; refresh; reconnect; transfer; backup; storage; upload; download; connection; network; data
cloud-upload,no,file
cloudy,no,weather; clouds
clover,no,leaf; luck; plant
club,no,shape; suit; playing; cards
code,no,source; programming; html; xml
code-2,yes,
code-square,yes,
code-xml,no,source; programming; html; xml
codepen,no,logo
codesandbox,no,logo
coffee,no,drink; cup; mug; tea; cafe; hot; beverage
cog,no,computing; settings; cog; edit; gear; preferences; controls; configuration; fixed; build; construction; parts
coins,no,money; cash; finance; gamble
columns,yes,
columns-2,no,lines; list; queue; preview; panel; parallel; series; split; vertical; horizontal; half; center; middle; even; sidebar; drawer; gutter; fold; reflow; typography; pagination; pages
columns-3,no,lines; list; queue; preview; parallel; series; split; vertical; horizontal; thirds; triple; center; middle; alignment; even; sidebars; drawers; gutters; fold; reflow; typography; pagination; pages
columns-3-cog,no,columns; settings; customize; table; grid; adjust; configuration; panel; layout
columns-4,no,lines; list; queue; preview; parallel; series; split; vertical; horizontal; thirds; triple; center; middle; alignment; even; sidebars; drawers; gutters; fold; reflow; typography; pagination; pages; prison; jail; bars; sentence; police; cops; cell; crime; criminal; justice; law; enforcement; grill
columns-settings,yes,
combine,no,cubes; packages; parts; units; collection; cluster; combine; gather; merge
command,no,keyboard; key; mac; cmd; button
compass,no,direction; north; east; south; west; safari; browser
component,no,design; element; group; module; part; symbol
computer,no,pc; chassis; codespaces; github
concierge-bell,no,reception; bell; porter
cone,no,conical; triangle; triangular; geometry; filter; funnel; hopper; spotlight; searchlight
construction,no,roadwork; maintenance; blockade; barricade
contact,no,user; person; family; friend; acquaintance; listing; networking
contact-2,yes,
contact-round,no,user; person; family; friend; acquaintance; listing; networking
container,no,storage; shipping; freight; supply chain; docker; environment; devops; code; coding
contrast,no,display; accessibility
cookie,no,biscuit; privacy; legal; food
cooking-pot,no,pod; cooking; recipe; food; kitchen; chef; restaurant; dinner; lunch; breakfast; meal; eat
copy,no,clone; duplicate; multiple
copy-check,no,clone; duplicate; done; multiple
copy-minus,no,clone; duplicate; remove; delete; collapse; subtract; multiple; -
copy-plus,no,clone; duplicate; add; multiple; expand; +
copy-slash,no,clone; duplicate; cancel; ban; no; stop; forbidden; prohibited; error; multiple; divide; division; split; or; /
copy-x,no,cancel; close; delete; remove; clear; multiple; multiply; multiplication; times
copyleft,no,licence
copyright,no,licence; license
corner-down-left,no,arrow; return
corner-down-right,no,arrow; indent; tab
corner-left-down,no,arrow
corner-left-up,no,arrow
corner-right-down,no,arrow
corner-right-up,no,arrow
corner-up-left,no,arrow
corner-up-right,no,arrow
cpu,no,processor; cores; technology; computer; chip; circuit; memory; ram; specs; gigahertz; ghz
creative-commons,no,licence; license
credit-card,no,bank; purchase; payment; cc
croissant,no,bakery; cooking; food; pastry
crop,no,photo; image
cross,no,healthcare; first aid
crosshair,no,aim; target
crown,no,diadem; tiara; circlet; corona; king; ruler; winner; favourite
cuboid,no,brick; block; container; storage; geometry; rectangular; hexahedron
cup-soda,no,beverage; cup; drink; soda; straw; water
curly-braces,yes,
currency,no,finance; money
cylinder,no,shape; elliptical; geometry; container; storage; tin; pot
dam,no,electricity; energy; water
database,no,storage; memory; container; tin; pot; bytes; servers
database-backup,no,storage; memory; bytes; servers; backup; timemachine; rotate; arrow; left
database-zap,no,cache busting; storage; memory; bytes; servers; power; crash
decimals-arrow-left,no,numerical; decimal; decrease; less; fewer; precision; rounding; digits; fraction; float; number
decimals-arrow-right,no,numerical; decimal; increase; more; precision; rounding; digits; fraction; float; number
delete,no,backspace; remove
dessert,no,pudding; christmas; xmas; custard; iced bun; icing; fondant; cake; ice cream; gelato; sundae; scoop; dollop; sugar; food; sweet
diameter,no,shape; circle; geometry; trigonometry; width; height; size; calculate; measure
diamond,no,square; rectangle; oblique; rhombus; shape; suit; playing; cards
diamond-minus,no,keyframe; subtract; remove; decrease; reduce; calculator; button; keyboard; line; divider; separator; horizontal rule; hr; html; markup; markdown; ---; toolbar; operator; code; coding; minimum; downgrade
diamond-percent,no,verified; unverified; sale; discount; offer; marketing; sticker; price tag
diamond-plus,no,keyframe; add; new; increase; increment; positive; calculate; toolbar; crosshair; aim; target; scope; sight; reticule; maximum; upgrade; extra; +
dice-1,no,dice; random; tabletop; 1; board; game
dice-2,no,dice; random; tabletop; 2; board; game
dice-3,no,dice; random; tabletop; 3; board; game
dice-4,no,dice; random; tabletop; 4; board; game
dice-5,no,dice; random; tabletop; 5; board; game
dice-6,no,dice; random; tabletop; 6; board; game
dices,no,dice; random; tabletop; board; game
diff,no,patch; difference; compare; plus; minus; plus-minus; math
disc,no,album; music; songs; format; cd; dvd; vinyl; sleeve; cover; platinum; compilation; ep; recording; playback; spin; rotate; rpm; dj
disc-2,no,album; music; vinyl; record; cd; dvd; format; dj; spin; rotate; rpm
disc-3,no,album; music; vinyl; record; cd; dvd; format; dj; spin; rotate; rpm
disc-album,no,album; music; songs; format; cd; dvd; vinyl; sleeve; cover; platinum; compilation; ep; recording; playback; spin; rotate; rpm; dj
divide,no,calculate; math; division; operator; code; ÷; /
divide-circle,yes,
divide-square,yes,
dna,no,gene; gmo; helix; heredity; chromosome; nucleic acid
dna-off,no,gene; gmo free; helix; heredity; chromosome; nucleic acid
dock,no,desktop; applications; launch; home; menu bar; bottom; line; macos; osx
dog,no,animal; pet; puppy; hound; canine
dollar-sign,no,currency; money; payment
donut,no,doughnut; sprinkles; topping; fast food; junk food; snack; treat; sweet; sugar; dessert; hollow; ring
door-closed,no,entrance; entry; exit; ingress; egress; gate; gateway; emergency exit
door-closed-locked,no,entrance; entry; exit; ingress; egress; gate; gateway; emergency exit; lock
door-open,no,entrance; entry; exit; ingress; egress; gate; gateway; emergency exit
dot,no,interpunct; interpoint; middot; step; punctuation; period; full stop; end; finish; final; characters; font; typography; type; center; .
dot-square,yes,
download,no,import; export; save
download-cloud,yes,
drafting-compass,no,geometry; trigonometry; radius; diameter; circumference; calculate; measure; arc; curve; draw; sketch
drama,no,drama; masks; theater; theatre; entertainment; show
dribbble,no,design; social
drill,no,power; bit; head; hole; diy; toolbox; build; construction
drone,no,quadcopter; uav; aerial; flight; flying; technology; airborne; robotics
droplet,no,water; weather; liquid; fluid; wet; moisture; damp; bead; globule
droplet-off,no,water; weather; liquid; fluid; wet; moisture; damp; bead; globule
droplets,no,water; weather; liquid; fluid; wet; moisture; damp; bead; globule
drum,no,drummer; kit; sticks; instrument; beat; bang; bass; backing track; band; play; performance; concert; march; music; audio; sound; noise; loud
drumstick,no,food; chicken; meat
dumbbell,no,barbell; weight; workout; gym
ear,no,hearing; noise; audio; accessibility
ear-off,no,hearing; hard of hearing; hearing loss; deafness; noise; silence; audio; accessibility
earth,no,world; browser; language; translate; globe
earth-lock,no,vpn; private; privacy; network; world; browser; security; encryption; protection; connection
eclipse,no,lunar; solar; crescent moon; sun; earth; day; night; planet; space; mode; dark; light; toggle; switch; color; css; styles; display; accessibility; contrast; brightness; blend; shade
edit,yes,
edit-2,yes,
edit-3,yes,
egg,no,bird; chicken; nest; hatch; shell; incubate; soft boiled; hard; breakfast; brunch; morning; easter
egg-fried,no,food; breakfast
egg-off,no,egg free; vegan; hatched; bad egg
ellipsis,no,et cetera; etc; loader; loading; progress; pending; throbber; menu; options; operator; code; coding; spread; rest; more; further; extra; overflow; dots; …; ...
ellipsis-vertical,no,menu; options; spread; more; further; extra; overflow; dots; …; ...
equal,no,calculate; math; operator; assignment; code; =
equal-approximately,no,about; calculate; math; operater
equal-not,no,calculate; off; math; operator; code; ≠
equal-square,yes,
eraser,no,pencil; drawing; undo; delete; clear; trash; remove
ethernet-port,no,internet; network; connection; cable; lan; port; router; switch; hub; modem; web; online; networking; communication; socket; plug; slot; controller; connector; interface; console; signal; data; input; output
euro,no,currency; money; payment
ev-charger,no,electric; charger; station; vehicle; fast; plug; ev; power; electricity; energy; accumulator; charge
expand,no,scale; fullscreen; maximize; minimize; contract
external-link,no,outbound; open; share
eye,no,view; watch; see; show; expose; reveal; display; visible; visibility; vision; preview; read
eye-closed,no,view; watch; see; hide; conceal; mask; hidden; visibility; vision
eye-off,no,view; watch; see; hide; conceal; mask; hidden; visibility; vision
facebook,no,logo; social
factory,no,building; business; energy; industry; manufacture; sector
fan,no,air; cooler; ventilation; ventilator; blower
fast-forward,no,music
feather,no,logo
fence,no,picket; panels; woodwork; diy; materials; suburban; garden; property; territory
ferris-wheel,no,big wheel; daisy wheel; observation; attraction; entertainment; amusement park; theme park; funfair
figma,no,logo; design; tool
file,no,document
file-archive,no,zip; package; archive
file-audio,yes,
file-audio-2,yes,
file-axis-3-d,yes,
file-axis-3d,no,model; 3d; axis; coordinates
file-badge,no,award; achievement; badge; rosette; prize; winner
file-badge-2,yes,
file-bar-chart,yes,
file-bar-chart-2,yes,
file-box,no,box; package; model
file-braces,no,code; json; curly braces; curly brackets
file-braces-corner,no,code; json; curly braces; curly brackets
file-chart-column,no,statistics; analytics; diagram; graph; presentation
file-chart-column-increasing,no,statistics; analytics; diagram; graph; presentation; trending up
file-chart-line,no,statistics; analytics; diagram; graph; presentation
file-chart-pie,no,statistics; analytics; diagram; graph; presentation
file-check,no,done; document; todo; tick; complete; task
file-check-2,yes,
file-check-corner,no,done; document; todo; tick; complete; task
file-clock,no,history; log; clock
file-code,no,script; document; gist; html; xml; property list; plist
file-code-2,yes,
file-code-corner,no,script; document; html; xml; property list; plist
file-cog,no,executable; settings; cog; edit; gear
file-cog-2,yes,
file-diff,no,diff; patch
file-digit,no,number; document
file-down,no,download; import; export
file-edit,yes,
file-exclamation-point,no,hidden; warning; alert; danger; protected; exclamation mark
file-headphone,no,music; audio; sound; headphones
file-heart,no,heart; favourite; bookmark; quick link
file-image,no,image; graphics; photo; picture
file-input,no,document
file-json,yes,
file-json-2,yes,
file-key,no,key; private; public; security
file-key-2,yes,
file-line-chart,yes,
file-lock,no,lock; password; security
file-lock-2,yes,
file-minus,no,delete; remove; erase; document
file-minus-2,yes,
file-minus-corner,no,document
file-music,no,audio; sound; noise; track; digital; recording; playback; piano; keyboard; keys; notes; chord; midi; octave
file-output,no,document
file-pen,no,signature
file-pen-line,no,edit
file-pie-chart,yes,
file-play,no,movie; video; film
file-plus,no,add; create; new; document
file-plus-2,yes,
file-plus-corner,no,add; create; new; document
file-question,yes,
file-question-mark,no,readme; help; question
file-scan,no,scan; code; qr-code
file-search,no,lost; document; find; browser; lens
file-search-2,yes,
file-search-corner,no,lost; document; find; browser; lens
file-signal,no,audio; music; volume
file-signature,yes,
file-sliders,no,cogged; gear; mechanical; machinery; configuration; controls; preferences; settings; system; admin; edit; executable
file-spreadsheet,no,spreadsheet; sheet; table
file-stack,no,versions; multiple; copy; documents; revisions; version control; history
file-symlink,no,symlink; symbolic; link
file-terminal,no,terminal; bash; script; executable
file-text,no,data; txt; pdf; document
file-type,no,font; text; typography; type
file-type-2,yes,
file-type-corner,no,font; text; typography; type
file-up,no,upload; import; export
file-user,no,person; personal information; people; listing; networking; document; contact; cover letter; resume; cv; curriculum vitae; application form
file-video,yes,
file-video-2,yes,
file-video-camera,no,movie; video; film
file-volume,no,audio; music; volume
file-volume-2,yes,
file-warning,yes,
file-x,no,lost; delete; remove; document
file-x-2,yes,
file-x-corner,no,lost; delete; remove; document
files,no,multiple; copy; documents
film,no,movie; video; reel; camera; cinema; entertainment
filter,yes,
filter-x,yes,
fingerprint,yes,
fingerprint-pattern,no,2fa; authentication; biometric; identity; security
fire-extinguisher,no,flames; smoke; foam; water; spray; hose; firefighter; fireman; department; brigade; station; emergency; suppress; compressed; tank; cylinder; safety; equipment; amenities
fish,no,dish; restaurant; course; meal; seafood; pet; sea; marine
fish-off,no,food; dish; restaurant; course; meal; seafood; animal; pet; sea; marine; allergy; intolerance; diet
fish-symbol,no,dish; restaurant; course; meal; seafood; pet; sea; marine
fishing-hook,no,sea; boating; angler; bait; reel; tackle; marine; outdoors; fish; fishing; hook; sports; travel
flag,no,report; marker; notification; warning; milestone; goal; notice; signal; attention; banner
flag-off,no,unflag; unmark; report; marker; notification; warning; milestone; goal; notice; signal; attention; banner
flag-triangle-left,no,report; timeline; marker; pin
flag-triangle-right,no,report; timeline; marker; pin
flame,no,heat; burn; light; glow; ignite; passion; ember; fire; lit; burning; spark; embers; smoke; firefighter; fireman; department; brigade; station; emergency
flame-kindling,no,campfire; camping; wilderness; outdoors; lit; warmth; wood; twigs; sticks
flashlight,no,torch; light; beam; emergency; safety; tool; bright
flashlight-off,no,torch; light; beam; emergency; safety; tool; bright
flask-conical,no,beaker; erlenmeyer; lab; chemistry; experiment; test
flask-conical-off,no,beaker; erlenmeyer; non toxic; lab; chemistry; experiment; test
flask-round,no,beaker; lab; chemistry; experiment; test
flip-horizontal,no,reflect; mirror; alignment; dashed
flip-horizontal-2,no,reflect; mirror; alignment; dashed
flip-vertical,no,reflect; mirror; alignment; dashed
flip-vertical-2,no,reflect; mirror; alignment; dashed
flower,no,sustainability; nature; plant; spring
flower-2,no,sustainability; nature; plant
focus,no,camera; lens; photo; dashed
fold-horizontal,no,arrow; collapse; fold; vertical; dashed
fold-vertical,no,arrow; collapse; fold; vertical; dashed
folder,no,directory
folder-archive,no,archive; zip; package
folder-check,no,done; directory; todo; tick; complete; task
folder-clock,no,history; directory; clock
folder-closed,no,directory; closed
folder-code,no,directory; coding; develop; software
folder-cog,no,directory; settings; control; preferences; cog; edit; gear
folder-cog-2,yes,
folder-dot,no,directory; root; project; pinned; active; current; cogged; gear; mechanical; machinery; configuration; controls; preferences; settings; system; admin; edit
folder-down,no,directory; download; import; export
folder-edit,yes,
folder-git,no,directory; root; project; git; repo
folder-git-2,no,directory; root; project; git; repo
folder-heart,no,directory; heart; favourite; bookmark; quick link
folder-input,no,directory; import; export
folder-kanban,no,projects; manage; overview; board; tickets; issues; roadmap; plan; intentions; productivity; work; agile; code; coding; directory; project; root
folder-key,no,directory; key; private; security; protected
folder-lock,no,directory; lock; private; security; protected
folder-minus,no,directory; remove; delete
folder-open,no,directory
folder-open-dot,no,directory; root; project; active; current; pinned
folder-output,no,directory; import; export
folder-pen,no,directory; rename
folder-plus,no,directory; add; create; new
folder-root,no,directory; root; project; git; repo
folder-search,no,directory; search; find; lost; browser; lens
folder-search-2,no,directory; search; find; lost; browser; lens
folder-symlink,no,directory; symlink; symbolic; link
folder-sync,no,directory; synchronize; synchronise; refresh; reconnect; transfer; backup
folder-tree,no,directory; tree; browser
folder-up,no,directory; upload; import; export
folder-x,no,directory; remove; delete
folders,no,multiple; copy; directories
footprints,no,steps; walking; foot; feet; trail; shoe
fork-knife,yes,
fork-knife-crossed,yes,
forklift,no,vehicle; transport; logistics
form,no,document; page; file; layout; paper; stub; formality; structure; template; inputs; design; components
form-input,yes,
forward,no,send; share; email
frame,no,logo; design; tool
framer,no,logo; design; tool
frown,no,emoji; face; bad; sad; emotion
fuel,no,filling-station; gas; petrol; tank
fullscreen,no,expand; zoom; preview; focus; camera; lens; image
function-square,yes,
funnel,no,filter; hopper
funnel-plus,no,filter; hopper; add; create; new
funnel-x,no,filter; hopper; remove; delete
gallery-horizontal,no,carousel; pictures; images; scroll; swipe; album; portfolio
gallery-horizontal-end,no,carousel; pictures; images; scroll; swipe; album; portfolio; history; versions; backup; time machine
gallery-thumbnails,no,carousel; pictures; images; album; portfolio; preview
gallery-vertical,no,carousel; pictures; images; scroll; swipe; album; portfolio
gallery-vertical-end,no,carousel; pictures; images; scroll; swipe; album; portfolio; history; versions; backup; time machine
gamepad,no,console
gamepad-2,no,console
gamepad-directional,no,direction; arrow; controller; navigation; button; move; pointer; arrowhead; console; game; gaming
gantt-chart,yes,
gantt-chart-square,yes,
gauge,no,dashboard; dial; meter; speed; pressure; measure; level
gauge-circle,yes,
gavel,no,justice; law; court; judgment; legal; hands; penalty; decision; authority; hammer; mallet
gem,no,diamond; crystal; ruby; jewellery; price; special; present; gift; ring; wedding; proposal; marriage; rubygems
georgian-lari,no,currency; money; payment
ghost,no,pac-man; spooky
gift,no,present; box; birthday; party
git-branch,no,code; version control; vcs; repository
git-branch-minus,no,code; version control; vcs; repository; delete; remove; -
git-branch-plus,no,code; version control; vcs; repository; add; create; +
git-commit,yes,
git-commit-horizontal,no,code; version control; waypoint; stop; station
git-commit-vertical,no,code; version control; waypoint; stop; station
git-compare,no,code; version control; diff
git-compare-arrows,no,code; version control; diff
git-fork,no,code; version control
git-graph,no,code; version control; commit graph; commits; gitlens
git-merge,no,code; version control
git-pull-request,no,code; version control; open
git-pull-request-arrow,no,code; version control; open
git-pull-request-closed,no,code; version control; rejected; closed; cancelled; x
git-pull-request-create,no,code; version control; open; plus; add; +
git-pull-request-create-arrow,no,code; version control; open; plus; add; +
git-pull-request-draft,no,code; version control; open; draft; dashed
github,no,logo; version control
gitlab,no,logo; version control
glass-water,no,beverage; drink; glass; water
glasses,no,glasses; spectacles
globe,no,world; browser; language; translate
globe-2,yes,
globe-lock,no,vpn; private; privacy; network; world; browser; security; encryption; protection; connection
globe-x,no,globe; internet; offline; disconnected; network; connection; world; no connection; network failure; signal off
goal,no,flag; bullseye
gpu,no,processor; cores; technology; computer; chip; circuit; specs; graphics processing unit; video card; display adapter; gddr; rendering; digital image processing; crypto mining
grab,yes,
graduation-cap,no,school; university; learn; study; mortarboard; education; ceremony; academic; hat; diploma; bachlor's; master's; doctorate
grape,no,fruit; wine; food
grid,yes,
grid-2-x-2,yes,
grid-2-x-2-check,yes,
grid-2-x-2-plus,yes,
grid-2-x-2-x,yes,
grid-2x2,no,table; rows; columns; blocks; plot; land; geometry; measure; size; width; height; distance; surface area; square meter; acre; window; skylight
grid-2x2-check,no,table; rows; columns; blocks; plot; land; geometry; measure; data; size; width; height; distance; surface area; square meter; acre
grid-2x2-plus,no,table; rows; columns; blocks; plot; land; geometry; measure; data; size; width; height; distance; surface area; square meter; acre
grid-2x2-x,no,table; rows; columns; data; blocks; plot; land; geometry; measure; size; width; height; distance; surface area; square meter; acre
grid-3-x-3,yes,
grid-3x2,no,table; rows; columns; blocks; plot; land; geometry; measure; size; width; height; distance; surface area; square meter; acre; window
grid-3x3,no,table; rows; columns
grip,no,grab; dots; handle; move; drag
grip-horizontal,no,grab; dots; handle; move; drag
grip-vertical,no,grab; dots; handle; move; drag
group,no,cubes; packages; parts; units; collection; cluster; gather; dashed
guitar,no,acoustic; instrument; strings; riff; rock; band; country; concert; performance; play; lead; loud; music; audio; sound; noise
ham,no,food; pork; pig; meat; bone; hock; knuckle; gammon; cured
hamburger,no,burger; cheeseburger; meat; beef; patty; bun; fast food; junk food; takeaway; takeout; snack; dish; restaurant; lunch; meal; savory; savoury; cookery; cooking; grilled; barbecue; barbeque; bbq; lettuce; tomato; relish; pickles; onions; ketchup; mustard; mayonnaise
hammer,no,mallet; nails; diy; toolbox; build; construction
hand,no,wave; move; mouse; grab
hand-coins,no,savings; banking; money; finance; offers; mortgage; payment; received; wage; payroll; allowance; pocket money; handout; pennies
hand-fist,no,clench; strength; power; unity; solidarity; rebellion; victory; triumph; support; fight; combat; brawl
hand-grab,no,hand
hand-heart,no,love; like; emotion
hand-helping,no,agreement; help; proposal; charity; begging; terms
hand-metal,no,rock
hand-platter,no,waiter; waitress; restaurant; table service; served; dinner; dining; meal; course; luxury
handbag,no,bag; baggage; carry; clutch; fashion; luggage; purse; tote; travel
handshake,no,agreement; partnership; deal; business; assistance; cooperation; friendship; union; terms
hard-drive,no,computer; server; memory; data; ssd; disk; hard disk
hard-drive-download,no,computer; server; memory; data; ssd; disk; hard disk; save
hard-drive-upload,no,computer; server; memory; data; ssd; disk; hard disk; save
hard-hat,no,helmet; construction; safety; savety
hash,no,hashtag; number; pound
hat-glasses,no,incognito; disguise; costume; masked; anonymous; anonymity; privacy; private browsing; stealth; hidden; undercover; cloak; invisible; ghost; spy; agent; detective; identity; cap; fedora; spectacles; shades; sunglasses; eyewear
haze,no,mist; fog
hd,no,tv; resolution; video; high definition; 720p; 1080p
hdmi-port,no,socket; plug; slot; controller; connector; interface; console; signal; audio; video; visual; av; data; input; output
heading,no,h1; html; markup; markdown
heading-1,no,h1; html; markup; markdown
heading-2,no,h2; html; markup; markdown
heading-3,no,h3; html; markup; markdown
heading-4,no,h4; html; markup; markdown
heading-5,no,h5; html; markup; markdown
heading-6,no,h6; html; markup; markdown
headphone-off,no,music; audio; sound; mute; off
headphones,no,music; audio; sound
headset,no,music; audio; sound; gaming; headphones; headset; call; center; phone; telephone; voip; video
heart,no,like; love; emotion; suit; playing; cards
heart-crack,no,heartbreak; sadness; emotion
heart-handshake,no,agreement; charity; help; deal; terms; emotion; together; handshake
heart-minus,no,unlike; unfavorite; remove; damage; ui & ux
heart-off,no,unlike; dislike; hate; emotion
heart-plus,no,plus; like; favorite; add; health; support
heart-pulse,no,heartbeat; pulse; health; medical; blood pressure; cardiac; systole; diastole
heater,no,heating; warmth; comfort; fire; stove; electric; electronics; amenities
helicopter,no,transport; flying; rotor; aviation; helipad; gear; flyer; technology; helicopter; aircraft; vehicle
help-circle,yes,
helping-hand,yes,
hexagon,no,shape; node.js; logo
highlighter,no,mark; text
history,no,time; redo; undo; rewind; timeline; version; time machine; backup; rotate; ccw
home,yes,
hop,no,beer; brewery; drink
hop-off,no,beer; brewery; drink; hop free; allergy; intolerance; diet
hospital,no,infirmary; sanatorium; healthcare; doctor; hospice; clinic; emergency room; ward; building; medical; vet
hotel,no,building; hostel; motel; inn
hourglass,no,timer; time; sandglass
house,no,home; living; building; residence; architecture
house-heart,no,home sweet home; abode; building; residence; healthy living; lifestyle
house-plug,no,home; living; building; residence; architecture; autarky; energy
house-plus,no,home; living; medical; new; addition; building; residence; architecture
house-wifi,no,home; living; building; wifi; connectivity
ice-cream,yes,
ice-cream-2,yes,
ice-cream-bowl,no,gelato; food; dessert; dish; restaurant; course; meal
ice-cream-cone,no,gelato; food
id-card,no,card; badge; identity; authentication; secure
id-card-lanyard,no,id-card; id-card-lanyard; identity; employee; gate-pass; badge
image,no,picture; photo
image-down,no,picture; photo; download; save; export
image-minus,no,remove; delete
image-off,no,picture; photo
image-play,no,picture; gif; photo
image-plus,no,add; create; picture
image-up,no,picture; photo; upload; import
image-upscale,no,resize; picture; sharpen; increase
images,no,picture; photo; multiple; copy; gallery; album; collection; slideshow; showcase
import,no,save
inbox,no,email
indent,yes,
indent-decrease,yes,
indent-increase,yes,
indian-rupee,no,currency; money; payment
infinity,no,unlimited; forever; loop; math
info,no,help
inspect,yes,
inspection-panel,no,access; cover; tile; metal; materials; screws
instagram,no,logo; camera; social
italic,no,oblique; text; format
iteration-ccw,no,arrow; right
iteration-cw,no,arrow; left
japanese-yen,no,currency; money; payment
joystick,no,game; console; control stick
kanban,no,projects; manage; overview; board; tickets; issues; roadmap; plan; intentions; productivity; work; agile; code; coding
kanban-square,yes,
kanban-square-dashed,yes,
kayak,no,kayak; boat; paddle; water; sport; recreation; adventure; outdoors; equipment; lake; ocean
